,locality,postcode,kitchen_has,furnished,facades_number
57923,1180,1180.0,1,0,-999
57924,7180,7180.0,1,0,-999
57925,9600,9600.0,1,0,-999
57926,1932,1932.0,1,0,-999
57927,1150,1150.0,1,0,-999
57928,1180,1180.0,1,0,-999
57929,1150,1150.0,1,0,-999
57930,1160,1160.0,1,0,-999
57931,1180,1180.0,1,0,-999
57932,1150,1150.0,1,0,-999
57933,1050,1050.0,1,0,-999
57934,8400,8400.0,1,0,-999
57935,8620,8620.0,1,0,-999
57936,8670,8670.0,1,1,-999
57937,1180,1180.0,1,0,-999
57938,1190,1190.0,1,0,-999
57939,2830,2830.0,1,0,-999
57940,1850,1850.0,1,0,-999
57941,4020,4020.0,1,0,-999
57942,9300,9300.0,1,0,-999
57943,9300,9300.0,1,0,-999
57944,1140,1140.0,1,0,-999
57945,7850,7850.0,1,0,-999
57946,9000,9000.0,1,0,-999
57947,7090,7090.0,1,0,-999
57948,1150,1150.0,1,0,-999
57949,8300,8300.0,1,0,-999
57950,8400,8400.0,1,0,-999
57951,1730,1730.0,1,0,-999
57952,9470,9470.0,1,0,-999
57953,9000,9000.0,1,0,-999
57954,1180,1180.0,1,0,-999
57955,9051,9051.0,1,0,-999
57956,1150,1150.0,1,0,-999
57957,1040,1040.0,1,0,-999
57958,8400,8400.0,1,1,-999
57959,4500,4500.0,1,0,-999
57960,7000,7000.0,1,0,-999
57961,8434,8434.0,1,1,-999
57962,4500,4500.0,1,0,-999
57963,4030,4030.0,1,0,-999
57964,8530,8530.0,1,0,-999
57965,1800,1800.0,1,0,-999
57966,6760,6760.0,1,0,-999
57967,4500,4500.0,1,0,-999
57968,5500,5500.0,1,0,-999
57969,5570,5570.0,1,0,-999
57970,1050,1050.0,1,0,-999
57971,1140,1140.0,1,1,-999
57972,8430,8430.0,1,0,-999
57973,5030,5030.0,1,0,-999
57974,1400,1400.0,1,0,-999
57975,9190,9190.0,0,0,-999
57976,4520,4520.0,1,0,-999
57977,6220,6220.0,1,0,-999
57978,1090,1090.0,1,0,-999
57979,4300,4300.0,1,0,-999
57980,6940,6940.0,1,0,-999
57981,7810,7810.0,1,0,-999
57982,4630,4630.0,1,0,-999
57983,4630,4630.0,1,0,-999
57984,1210,1210.0,1,0,-999
57985,6041,6041.0,1,0,-999
57986,8200,8200.0,0,0,-999
57987,4400,4400.0,1,0,-999
57988,4400,4400.0,1,0,-999
57989,8490,8490.0,1,0,-999
57990,9770,9770.0,1,0,-999
57991,1140,1140.0,1,0,-999
57992,4100,4100.0,1,0,-999
57993,1440,1440.0,1,0,-999
57994,2660,2660.0,1,0,-999
57995,3000,3000.0,1,0,-999
57996,1140,1140.0,1,0,-999
57997,8380,8380.0,1,0,-999
57998,1000,1000.0,1,0,-999
57999,1332,1332.0,1,0,-999
58000,1030,1030.0,1,0,-999
